"Architecture","Dedicated","Direct_X","Integrated","L2_Cache","Manufacturer","Memory_Bandwidth","Memory_Bus","Memory_Speed","Memory_Type","Name","Notebook_GPU","Open_GL","Release_Date","Resolution_WxH","SLI_Crossfire","Shader"
"Fermi GF114-400-A1 ","Yes","DX 12.0","No",512,"Nvidia",134.4,256,1050,"GDDR5","GeForce GTX 560 Ti DirectCUII TOP 1GB","No","4.5","
25-Feb-2011 ","2560x1600","Yes","5"
"Fermi GF114-400-A1 ","Yes","DX 12.0","No",512,"Nvidia",128.3,256,1002,"GDDR5","GeForce GTX 560 Ti Gainward Phantom 2GB Edition","No","4.5","
25-Jan-2011 ","2560x1600","Yes","5"
"Fermi GF114-400-A1 ","Yes","DX 12.0","No",512,"Nvidia",128,256,1000,"GDDR5","GeForce GTX 560 Ti DirectCUII 1GB","No","4.5","
01-Feb-2011 ","2560x1600","Yes","5"
"Fermi GF114-400-A1 ","Yes","DX 12.0","No",512,"Nvidia",128.3,256,1002,"GDDR5","GeForce GTX 560 Ti DirectCUII 2GB","No","4.5","
01-Feb-2011 ","2560x1600","Yes","5"
"Fermi GF114-400-A1 ","Yes","DX 12.0","No",512,"Nvidia",134.8,256,1053,"GDDR5","GeForce GTX 560 Ti Crysis 2 Maximum Edition","No","4.5","
23-Mar-2011 ","2560x1600","Yes","5"
"Fermi GF114-400-A1 ","Yes","DX 12.0","No",512,"Nvidia",140.8,256,1100,"GDDR5","GeForce GTX 560 Ti AMP","No","4.5","
08-Feb-2011 ","2560x1600","Yes","5"
"Fermi GF114-325-A1 ","Yes","DX 12.0","No",512,"Nvidia",143.6,256,1122,"GDDR5","GeForce GTX 560 Sparkle Calibe DF 1GB Edition","No","4.5","
19-May-2011 ","2560x1600","Yes","5"
"Fermi GF114-400-A1 ","Yes","DX 12.0","No",512,"Nvidia",128.3,256,1002,"GDDR5","GeForce GTX 560 Ti","No","4.5","
25-Jan-2011 ","2560x1600","Yes","5"
"Fermi GF110-270-A1 ","Yes","DX 12.0","No",640,"Nvidia",121.6,256,950,"GDDR5","GeForce GTX 560 Ti 448 Edition ","No","4.5","
29-Nov-2011 ","2560x1600","Yes","5"
"Fermi GF114-200-KB-A1 ","Yes","DX 12.0","No",384,"Nvidia",91.9,192,957,"GDDR5","GeForce GTX 560 SE (OEM)","No","4.5","
30-Mar-2012 ","2560x1600","Yes","5"
"Fermi GF110-270-A1 ","Yes","DX 12.0","No",640,"Nvidia",124.8,256,975,"GDDR5","GeForce GTX 560 Ti 448 MSI Twin Frozr III Power OC 1.2GB Edition","No","4.5","
29-Nov-2011 ","2560x1600","Yes","5"
"Fermi GF114-325-A1 ","Yes","DX 12.0","No",512,"Nvidia",128.3,256,1002,"GDDR5","GeForce GTX 560 Gigabyte WindForce 2X Rev 3.0 1GB Edition","No","4.5","
17-May-2011 ","2560x1600","Yes","5"
"Fermi GF114-325-A1 ","Yes","DX 12.0","No",512,"Nvidia",128.3,256,1002,"GDDR5","GeForce GTX 560 Palit 2GB Edition","No","4.5","
01-May-2011 ","2560x1600","Yes","5"
"Fermi GF114-325-A1 ","Yes","DX 12.0","No",512,"Nvidia",130.6,256,1020,"GDDR5","GeForce GTX 560 MSI TwinFrozr II OC 1GB Edition","No","4.5","
17-May-2011 ","2560x1600","Yes","5"
"Fermi GF114-325-A1 ","Yes","DX 12.0","No",512,"Nvidia",128.3,256,1002,"GDDR5","GeForce GTX 560 Gigabyte WindForce 2X Rev 2.0 1GB Edition","No","4.5","
17-May-2011 ","2560x1600","Yes","5"
"Fermi GF114-325-A1 ","Yes","DX 12.0","No",512,"Nvidia",128.3,256,1002,"GDDR5","GeForce GTX 560 Gigabyte WindForce 2X Rev 1.0 1GB Edition","No","4.5","
17-May-2011 ","2560x1600","Yes","5"
"Fermi GF114-325-A1 ","Yes","DX 12.0","No",512,"Nvidia",128.3,256,1002,"GDDR5","GeForce GTX 560 Galaxy GC 2GB Edition","No","4.5","
01-Dec-2011	 ","2560x1600","Yes","5"
"Fermi GF114-325-A1 (x2) ","Yes","DX 12.0","No",5122,"Nvidia",256.3,256,1001,"GDDR5","GeForce GTX 560 SLI","No","4.5","
17-May-2011 ","2560x1600","Yes","5"
"Fermi GF114-325-A1 ","Yes","DX 12.0","No",512,"Nvidia",131.3,256,1026,"GDDR5","GeForce GTX 560 EVGA Superclocked 2GB Edition","No","4.5","
01-Jun-2011 ","2560x1600","Yes","5"
"Fermi GF114-325-A1 ","Yes","DX 12.0","No",512,"Nvidia",129.3,256,1010,"GDDR5","GeForce GTX 560 Gainward Phantom 1GB Edition","No","4.5","
28-Nov-2011 ","2560x1600","Yes","5"
"Fermi GF114-325-A1 ","Yes","DX 12.0","No",512,"Nvidia",137.9,256,1077,"GDDR5","GeForce GTX 560 EVGA FTW+ 1GB Edition","No","4.5","
15-Aug-2011 ","2560x1600","Yes","5"
"Fermi GF114-325-A1 ","Yes","DX 12.0","No",512,"Nvidia",131.3,256,1026,"GDDR5","GeForce GTX 560 EVGA Superclocked 1GB Edition","No","4.5","
17-May-2011 ","2560x1600","Yes","5"
"Fermi GF114-325-A1 ","Yes","DX 12.0","No",512,"Nvidia",133.1,256,1040,"GDDR5","GeForce GTX 560 EVGA DS SSC 1GB Edition","No","4.5","
02-Dec-2011 ","2560x1600","Yes","5"
"Fermi GF114-325-A1 ","Yes","DX 12.0","No",512,"Nvidia",131.3,256,1026,"GDDR5","GeForce GTX 560 Club3D CoolStream Super OC 1GB Edition","No","4.5","
17-May-2011 ","2560x1600","Yes","5"
"Fermi GF114-325-A1 ","Yes","DX 12.0","No",512,"Nvidia",134.4,256,1050,"GDDR5","GeForce GTX 560 Asus DirectCU II TOP 1GB Edition","No","4.5","
19-May-2011 ","2560x1600","Yes","5"
"Fermi GF114-325-A1 ","Yes","DX 12.0","No",512,"Nvidia",128.3,256,1002,"GDDR5","GeForce GTX 560 EVGA 1GB Edition","No","4.5","
17-May-2011 ","2560x1600","Yes","5"
"Fermi GF114-325-A1 ","Yes","DX 12.0","No",512,"Nvidia",134.4,256,1050,"GDDR5","GeForce GTX 560 Asus DirectCU II OC 1GB Edition","No","4.5","
17-May-2011 ","2560x1600","Yes","5"
"Fermi GF110 ","Yes","DX 12.0","No",768,"Nvidia",128.3,320,802,"GDDR5","GeForce GTX 560 (OEM)","No","4.5","
29-Nov-2011 ","2560x1600","Yes","5"
"Fermi GF114-325-A1 ","Yes","DX 12.0","No",512,"Nvidia",128.3,256,1002,"GDDR5","GeForce GTX 560 ECS Black 1GB Edition","No","4.5","
17-May-2011 ","2560x1600","Yes","5"
